Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bahrain,BHR,37.045,35.941,34.991,34.224,33.658,33.293,33.082,32.974,32.934,32.931,32.938,32.931,32.882,32.757,32.514,32.122,31.58,30.902,30.105,29.217,28.276,27.328,26.412,25.553,24.77,24.069,23.431,22.835,22.271,21.722,21.166,20.591,19.996,19.385,18.778,18.203,17.685,17.239,16.863,16.547,16.271,16.005,15.727,15.426,15.096,14.738,14.365,13.99,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,BGD,46.879,46.511,46.117,45.704,45.279,44.852,44.421,43.981,43.525,43.039,42.505,41.91,41.247,40.514,39.713,38.846,37.933,36.992,36.041,35.099,34.183,33.299,32.454,31.653,30.897,30.181,29.493,28.821,28.158,27.493,26.818,26.132,25.439,24.742,24.053,23.384,22.747,22.153,21.605,21.107,20.657,20.245,19.862,19.501,19.156,18.824,18.501,18.184,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Barbados,BRB,21.123,20.562,20.024,19.504,19.018,18.591,18.245,17.988,17.813,17.698,17.615,17.529,17.418,17.268,17.079,16.859,16.63,16.407,16.194,15.988,15.784,15.574,15.355,15.126,14.896,14.672,14.462,14.27,14.095,13.934,13.78,13.624,13.457,13.274,13.069,12.837,12.581,12.308,12.026,11.748,11.489,11.259,11.067,10.916,10.806,10.732,10.683,10.648,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belarus,BLR,15.805,15.718,15.672,15.647,15.642,15.668,15.74,15.858,16.008,16.177,16.3,16.3,17.6,17,16.5,17.1,16.1,16.1,15.1,14,13,12.5,11.5,10.8,9.9,9.4,8.9,9.2,9.3,9.4,9.2,8.9,9,9.1,9.3,9.9,10.7,11.1,11.4,11.4,11.5,12.2,12.5,12.5,12.5,12.4,10.8,9.9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belize,BLZ,41.939,42.008,42.118,42.243,42.341,42.369,42.296,42.105,41.792,41.365,40.85,40.288,39.713,39.142,38.587,38.048,37.513,36.973,36.424,35.862,35.282,34.681,34.061,33.427,32.791,32.168,31.567,30.99,30.431,29.868,29.271,28.62,27.913,27.158,26.386,25.635,24.944,24.339,23.827,23.402,23.044,22.717,22.395,22.067,21.733,21.4,21.081,20.786,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Benin,BEN,46.919,46.995,47.066,47.135,47.202,47.262,47.309,47.339,47.348,47.337,47.306,47.256,47.188,47.1,46.991,46.856,46.693,46.502,46.281,46.029,45.745,45.432,45.093,44.733,44.356,43.965,43.564,43.161,42.76,42.371,42.002,41.654,41.326,41.018,40.726,40.445,40.167,39.884,39.59,39.278,38.945,38.591,38.219,37.831,37.432,37.027,36.621,36.221,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bhutan,BTN,48.502,48.134,47.734,47.309,46.861,46.39,45.893,45.374,44.839,44.303,43.788,43.298,42.827,42.364,41.878,41.333,40.701,39.963,39.114,38.163,37.126,36.037,34.927,33.81,32.694,31.573,30.441,29.302,28.17,27.066,26.012,25.025,24.113,23.283,22.527,21.83,21.174,20.547,19.949,19.397,18.913,18.514,18.201,17.965,17.783,17.625,17.459,17.259,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bolivia,BOL,42.126,41.932,41.721,41.484,41.212,40.892,40.522,40.108,39.659,39.193,38.735,38.301,37.904,37.542,37.208,36.884,36.548,36.181,35.777,35.336,34.86,34.364,33.859,33.349,32.84,32.334,31.83,31.326,30.823,30.314,29.795,29.263,28.718,28.163,27.604,27.049,26.508,25.985,25.486,25.008,24.548,24.1,23.661,23.233,22.821,22.433,22.076,21.75,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bosnia and Herzegovina,BIH,23.066,22.521,21.961,21.38,20.789,20.214,19.684,19.218,18.817,18.474,18.176,17.899,17.62,17.324,16.996,16.624,16.212,15.769,15.305,14.844,14.416,14.04,13.718,13.445,13.185,12.889,12.523,12.072,11.546,10.983,10.438,9.966,9.608,9.372,9.255,9.23,9.251,9.276,9.284,9.256,9.188,9.087,8.963,8.818,8.655,8.477,8.293,8.111,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Botswana,BWA,44.956,44.834,44.75,44.695,44.661,44.643,44.617,44.551,44.414,44.154,43.719,43.094,42.286,41.314,40.221,39.067,37.917,36.828,35.83,34.932,34.116,33.348,32.606,31.894,31.231,30.646,30.159,29.778,29.498,29.302,29.163,29.05,28.935,28.803,28.654,28.498,28.348,28.212,28.079,27.934,27.754,27.524,27.231,26.87,26.44,25.943,25.396,24.821,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brazil,BRA,34.433,33.865,33.409,33.057,32.8,32.619,32.474,32.326,32.14,31.875,31.493,30.99,30.371,29.648,28.843,27.989,27.129,26.303,25.534,24.844,24.245,23.721,23.252,22.826,22.424,22.022,21.601,21.147,20.654,20.119,19.547,18.955,18.363,17.787,17.243,16.747,16.306,15.921,15.595,15.327,15.11,14.93,14.772,14.624,14.472,14.307,14.125,13.924,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brunei Darussalam,BRN,36.541,36.385,36.127,35.736,35.205,34.555,33.852,33.155,32.492,31.899,31.401,30.997,30.677,30.433,30.253,30.121,30.003,29.865,29.678,29.401,28.997,28.464,27.811,27.055,26.238,25.412,24.625,23.908,23.269,22.679,22.088,21.447,20.738,19.974,19.211,18.527,17.985,17.616,17.412,17.329,17.294,17.221,17.052,16.765,16.365,15.882,15.376,14.896,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,BGR,15.9,15.3,16.2,17.2,16.6,16.5,16.1,15.5,15.3,14.5,14,13.9,13.8,13.6,13.3,13.4,13,13.1,12.6,12.1,11.1,10.4,10,9.4,8.6,8.6,7.7,7.9,8.8,9,8.5,8.5,8.7,9.1,9.3,9.7,10,10.4,10.9,10.2,9.6,9.5,9.2,9.4,9.2,9.1,9,8.9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burkina Faso,BFA,47.502,47.59,47.734,47.932,48.169,48.424,48.668,48.873,49.022,49.099,49.092,49.011,48.871,48.68,48.457,48.218,47.982,47.764,47.574,47.417,47.296,47.197,47.109,47.026,46.939,46.843,46.732,46.601,46.442,46.253,46.031,45.778,45.495,45.176,44.817,44.407,43.946,43.438,42.89,42.314,41.721,41.127,40.543,39.979,39.437,38.92,38.419,37.93,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burundi,BDI,47.694,47.823,48.072,48.431,48.878,49.376,49.876,50.335,50.726,51.038,51.279,51.464,51.6,51.676,51.67,51.558,51.323,50.961,50.475,49.866,49.136,48.315,47.442,46.555,45.702,44.926,44.251,43.696,43.274,42.993,42.849,42.809,42.836,42.902,42.981,43.053,43.102,43.11,43.057,42.919,42.682,42.35,41.933,41.44,40.883,40.278,39.646,39.008,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cambodia,KHM,42.508,41.928,41.333,40.795,40.491,40.626,41.288,42.466,44.067,45.883,47.64,49.063,49.943,50.185,49.766,48.756,47.36,45.769,44.077,42.358,40.647,38.94,37.251,35.62,34.079,32.643,31.309,30.085,28.989,28.058,27.326,26.793,26.44,26.241,26.147,26.101,26.05,25.947,25.767,25.502,25.166,24.797,24.422,24.048,23.674,23.291,22.889,22.464,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cameroon,CMR,44.818,44.924,45.025,45.127,45.241,45.379,45.543,45.726,45.919,46.105,46.265,46.379,46.431,46.411,46.31,46.127,45.874,45.566,45.213,44.824,44.405,43.968,43.525,43.094,42.691,42.336,42.032,41.779,41.576,41.419,41.298,41.196,41.093,40.975,40.826,40.636,40.402,40.124,39.797,39.42,38.992,38.522,38.02,37.497,36.964,36.429,35.9,35.386,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central African Republic,CAF,42.327,42.155,41.986,41.832,41.714,41.65,41.649,41.71,41.826,41.984,42.163,42.339,42.488,42.594,42.64,42.614,42.524,42.383,42.203,42.004,41.81,41.64,41.509,41.42,41.376,41.369,41.378,41.385,41.378,41.347,41.286,41.194,41.068,40.903,40.692,40.427,40.111,39.749,39.346,38.905,38.431,37.933,37.427,36.927,36.454,36.029,35.66,35.348,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chad,TCD,47.351,47.785,48.192,48.556,48.864,49.113,49.317,49.487,49.629,49.75,49.856,49.954,50.05,50.15,50.261,50.389,50.531,50.683,50.839,50.992,51.133,51.253,51.344,51.399,51.414,51.391,51.333,51.241,51.112,50.941,50.722,50.451,50.127,49.752,49.325,48.848,48.327,47.772,47.194,46.603,46.01,45.42,44.841,44.276,43.73,43.201,42.683,42.172,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chile,CHL,28.138,27.493,26.884,26.313,25.779,25.276,24.799,24.349,23.929,23.555,23.248,23.015,22.856,22.758,22.707,22.682,22.656,22.598,22.484,22.286,21.979,21.567,21.06,20.471,19.818,19.124,18.421,17.742,17.112,16.556,16.092,15.713,15.412,15.184,15.021,14.914,14.841,14.78,14.712,14.613,14.463,14.258,14.002,13.7,13.369,13.031,12.711,12.428,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,China,CHN,30.65,29.77,27.93,24.82,23.01,19.91,18.93,18.25,17.82,18.21,20.91,22.28,20.19,19.9,21.04,22.43,23.33,22.37,21.58,21.06,19.68,18.27,18.09,17.7,17.12,16.98,16.57,15.64,14.64,14.03,13.38,12.86,12.41,12.29,12.4,12.09,12.1,12.14,12.13,11.9,11.93,12.1,12.08,12.37,12.07,12.95,12.43,10.9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Colombia,COL,35.383,34.418,33.647,33.075,32.672,32.389,32.148,31.887,31.576,31.196,30.748,30.263,29.77,29.28,28.813,28.392,28.02,27.696,27.41,27.136,26.844,26.505,26.101,25.628,25.094,24.52,23.935,23.361,22.803,22.256,21.705,21.133,20.535,19.917,19.295,18.69,18.124,17.612,17.162,16.779,16.458,16.186,15.945,15.725,15.515,15.308,15.098,14.882,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Comoros,COM,45.355,45.246,45.182,45.163,45.194,45.278,45.405,45.557,45.711,45.84,45.918,45.926,45.845,45.664,45.372,44.962,44.453,43.869,43.23,42.558,41.878,41.208,40.567,39.972,39.435,38.959,38.534,38.151,37.806,37.497,37.221,36.972,36.744,36.527,36.317,36.11,35.904,35.691,35.464,35.209,34.915,34.578,34.199,33.781,33.328,32.852,32.365,31.881,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Costa Rica,CRI,31.304,30.449,29.855,29.512,29.388,29.432,29.567,29.721,29.851,29.93,29.957,29.95,29.917,29.84,29.692,29.449,29.098,28.635,28.064,27.394,26.644,25.841,25.014,24.181,23.352,22.527,21.703,20.885,20.088,19.335,18.648,18.038,17.512,17.074,16.72,16.444,16.225,16.041,15.877,15.719,15.554,15.381,15.194,14.989,14.762,14.512,14.246,13.971,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominica,DMA,..,37,32.7,29.2,25.1,24.7,24,24,21,24.8,22.5,23.3,24.3,20.8,..,..,23.6,..,..,23,..,24,..,21.6,..,19.1,21.5,16.2,..,..,..,15.4,..,..,..,14.9,..,..,..,13.16346398,..,..,..,12,..,..,..,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Djibouti,DJI,44.989,44.756,44.411,43.969,43.461,42.929,42.416,41.959,41.574,41.27,41.041,40.857,40.693,40.538,40.395,40.277,40.183,40.093,39.979,39.777,39.42,38.873,38.131,37.21,36.164,35.071,34.012,33.048,32.206,31.48,30.836,30.217,29.58,28.917,28.234,27.553,26.903,26.304,25.756,25.255,24.787,24.331,23.871,23.402,22.921,22.432,21.944,21.466,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominican Republic,DOM,40.79,39.862,38.973,38.127,37.331,36.587,35.895,35.251,34.65,34.088,33.556,33.047,32.556,32.077,31.612,31.167,30.745,30.344,29.956,29.568,29.162,28.728,28.261,27.762,27.239,26.707,26.184,25.683,25.211,24.771,24.356,23.959,23.572,23.196,22.836,22.496,22.182,21.896,21.636,21.398,21.178,20.969,20.761,20.547,20.32,20.07,19.799,19.506,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Egypt, Arab Rep.",EGY,41.235,40.76,40.332,39.962,39.661,39.44,39.286,39.179,39.098,39.017,38.914,38.763,38.537,38.211,37.749,37.118,36.325,35.393,34.352,33.249,32.141,31.08,30.11,29.256,28.526,27.903,27.352,26.845,26.381,25.958,25.578,25.258,25.015,24.864,24.849,25.024,25.393,25.93,26.584,27.266,27.871,28.308,28.518,28.475,28.182,27.677,27.05,26.379,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ecuador,ECU,40.406,39.78,39.121,38.44,37.754,37.076,36.416,35.784,35.185,34.624,34.101,33.606,33.132,32.671,32.217,31.763,31.306,30.843,30.377,29.912,29.459,29.025,28.611,28.214,27.82,27.413,26.981,26.517,26.022,25.503,24.97,24.441,23.933,23.455,23.019,22.631,22.287,21.982,21.712,21.471,21.253,21.049,20.848,20.645,20.432,20.205,19.968,19.719,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,El Salvador,SLV,42.448,42.039,41.629,41.207,40.75,40.232,39.644,38.986,38.262,37.486,36.677,35.865,35.077,34.331,33.648,33.044,32.511,32.037,31.61,31.215,30.833,30.441,30.016,29.538,28.982,28.323,27.568,26.734,25.843,24.931,24.04,23.21,22.47,21.835,21.311,20.884,20.525,20.207,19.918,19.654,19.418,19.213,19.036,18.881,18.734,18.587,18.429,18.253,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Equatorial Guinea,GNQ,41.644,41.833,42.033,42.239,42.445,42.648,42.839,43.011,43.156,43.264,43.329,43.349,43.324,43.256,43.142,42.982,42.782,42.556,42.316,42.085,41.883,41.723,41.607,41.534,41.494,41.47,41.438,41.378,41.28,41.136,40.947,40.723,40.468,40.182,39.859,39.493,39.082,38.626,38.132,37.604,37.049,36.476,35.899,35.326,34.768,34.234,33.725,33.241,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eritrea,ERI,46.423,46.174,45.943,45.737,45.564,45.436,45.348,45.294,45.264,45.254,45.263,45.275,45.26,45.188,45.011,44.683,44.182,43.5,42.638,41.58,40.315,38.892,37.389,35.892,34.524,33.414,32.634,32.222,32.187,32.518,33.17,34.019,34.936,35.819,36.552,37.038,37.25,37.184,36.84,36.25,35.476,34.616,33.753,32.936,32.191,31.521,30.898,30.302,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eswatini,SWZ,50.234,50.419,50.499,50.468,50.347,50.178,49.992,49.799,49.582,49.28,48.813,48.129,47.211,46.082,44.801,43.455,42.142,40.935,39.87,38.946,38.132,37.364,36.601,35.837,35.083,34.361,33.704,33.137,32.669,32.318,32.1,31.998,31.979,32.008,32.022,31.957,31.77,31.442,30.972,30.39,29.747,29.111,28.53,28.021,27.579,27.176,26.773,26.342,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ethiopia,ETH,48.239,48.381,48.482,48.54,48.567,48.592,48.64,48.725,48.841,48.97,49.086,49.157,49.161,49.089,48.937,48.712,48.433,48.124,47.798,47.479,47.188,46.932,46.701,46.482,46.245,45.95,45.564,45.067,44.454,43.728,42.902,42.012,41.097,40.186,39.307,38.485,37.726,37.035,36.414,35.861,35.369,34.916,34.483,34.059,33.635,33.207,32.775,32.339,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Fiji,FJI,33.443,33.188,33.088,33.114,33.228,33.392,33.564,33.699,33.76,33.702,33.495,33.148,32.682,32.116,31.492,30.858,30.26,29.729,29.275,28.888,28.538,28.183,27.793,27.362,26.898,26.418,25.948,25.509,25.107,24.738,24.393,24.058,23.725,23.399,23.094,22.827,22.613,22.456,22.353,22.292,22.259,22.23,22.185,22.108,21.983,21.799,21.56,21.277,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Gabon,GAB,36.972,37.099,37.227,37.363,37.513,37.677,37.843,38,38.141,38.258,38.344,38.395,38.407,38.378,38.308,38.203,38.067,37.903,37.711,37.481,37.203,36.873,36.492,36.069,35.613,35.134,34.651,34.183,33.751,33.377,33.08,32.865,32.728,32.668,32.678,32.751,32.863,32.99,33.11,33.206,33.265,33.281,33.242,33.132,32.927,32.604,32.161,31.611,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Gambia, The",GMB,47.474,47.427,47.434,47.485,47.55,47.588,47.565,47.469,47.303,47.1,46.908,46.773,46.719,46.749,46.844,46.973,47.085,47.139,47.111,46.981,46.738,46.399,45.986,45.515,45.009,44.489,43.978,43.497,43.061,42.682,42.366,42.101,41.875,41.683,41.52,41.381,41.259,41.142,41.02,40.881,40.716,40.522,40.295,40.029,39.719,39.363,38.967,38.535,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Georgia,GEO,19.448,19.101,18.826,18.624,18.493,18.432,18.427,18.462,18.519,18.588,18.66,18.726,18.771,18.779,18.728,18.598,18.386,18.09,17.715,17.261,16.737,16.162,15.562,14.957,14.366,13.8,13.269,12.788,12.376,12.063,11.875,11.815,11.875,12.043,12.3,12.62,12.968,13.309,13.615,13.861,14.036,14.142,14.186,14.165,14.078,13.925,13.718,13.472,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ghana,GHA,45.826,45.399,44.965,44.537,44.135,43.773,43.455,43.182,42.952,42.761,42.603,42.461,42.317,42.154,41.951,41.688,41.36,40.969,40.523,40.038,39.54,39.053,38.594,38.168,37.77,37.382,36.986,36.567,36.126,35.671,35.214,34.772,34.358,33.979,33.64,33.345,33.084,32.846,32.619,32.385,32.127,31.834,31.5,31.125,30.714,30.28,29.839,29.407,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Grenada,GRD,28.122,28.384,28.693,28.986,29.25,29.517,29.85,30.277,30.772,31.304,31.831,32.297,32.641,32.814,32.747,32.381,31.718,30.789,29.633,28.31,26.899,25.485,24.146,22.935,21.882,20.987,20.213,19.531,18.939,18.444,18.054,17.77,17.583,17.479,17.438,17.441,17.468,17.497,17.512,17.501,17.461,17.398,17.315,17.209,17.074,16.905,16.701,16.465,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guatemala,GTM,45.225,45.143,45.07,44.994,44.901,44.781,44.623,44.419,44.159,43.824,43.393,42.874,42.282,41.643,41.001,40.408,39.901,39.497,39.199,38.984,38.816,38.642,38.419,38.129,37.767,37.344,36.883,36.401,35.893,35.341,34.716,34.006,33.212,32.35,31.454,30.562,29.716,28.946,28.269,27.688,27.197,26.766,26.369,25.992,25.627,25.267,24.912,24.561,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea,GIN,45.615,45.828,46.076,46.351,46.646,46.953,47.265,47.568,47.852,48.107,48.325,48.505,48.643,48.733,48.768,48.743,48.662,48.526,48.339,48.103,47.82,47.497,47.142,46.761,46.362,45.948,45.523,45.089,44.651,44.21,43.766,43.318,42.866,42.411,41.956,41.501,41.048,40.598,40.153,39.713,39.278,38.848,38.422,38,37.583,37.171,36.765,36.364,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea-Bissau,GNB,42.894,43.281,43.736,44.257,44.856,45.55,46.327,47.153,47.979,48.73,49.322,49.703,49.846,49.748,49.432,48.951,48.387,47.806,47.243,46.71,46.2,45.685,45.148,44.597,44.047,43.516,43.021,42.572,42.174,41.828,41.529,41.262,41.01,40.765,40.518,40.264,40,39.722,39.421,39.089,38.714,38.298,37.841,37.346,36.819,36.265,35.697,35.125,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guyana,GUY,35.53,34.936,34.269,33.544,32.819,32.169,31.652,31.297,31.097,31,30.926,30.794,30.551,30.191,29.745,29.275,28.856,28.541,28.339,28.24,28.214,28.204,28.16,28.056,27.867,27.58,27.208,26.766,26.262,25.704,25.101,24.47,23.836,23.223,22.664,22.188,21.804,21.513,21.309,21.176,21.088,21.011,20.918,20.793,20.629,20.427,20.202,19.967,..,..
